x,y
-3.0,-24.516429234943836
-2.993993993993994,-27.52948377601776
-2.987987987987988,-23.438529847871013
-2.981981981981982,-18.90128022270202
-2.975975975975976,-27.527298742985714
-2.96996996996997,-27.367963117105262
-2.963963963963964,-18.14260351628038
-2.957957957957958,-22.04352470808263
-2.951951951951952,-28.070741242227857
-2.945945945945946,-22.85387895210947
-2.93993993993994,-27.72771509047229
-2.933933933933934,-27.583859149620654
-2.9279279279279278,-23.890617778391512
-2.921921921921922,-34.51268281316012
-2.915915915915916,-33.41735560538707
-2.90990990990991,-27.4513200413831
-2.903903903903904,-29.55178374871644
-2.8978978978978978,-22.764765735548007
-2.891891891891892,-28.72512422732868
-2.885885885885886,-31.09614970741972
-2.87987987987988,-16.556639307082733
-2.873873873873874,-24.864639905101235
-2.8678678678678677,-23.249614630342016
-2.861861861861862,-30.563114536201248
-2.855855855855856,-26.014024579455647
-2.84984984984985,-22.59085346042383
-2.843843843843844,-28.75440654877997
-2.8378378378378377,-20.97553632329148
-2.831831831831832,-25.712421818725545
-2.825825825825826,-24.02351197307408
-2.81981981981982,-25.430002741199573
-2.813813813813814,-13.017115514525717
-2.8078078078078077,-22.20363831895503
-2.8018018018018016,-27.282960299521164
-2.795795795795796,-17.74054095508759
-2.78978978978979,-27.816948727810274
-2.7837837837837838,-20.528481266876998
-2.7777777777777777,-31.23182112694346
-2.7717717717717716,-27.93567321948294
-2.765765765765766,-20.172309164997998
-2.75975975975976,-17.32675341573021
-2.7537537537537538,-20.025313183236094
-2.7477477477477477,-21.324060276825076
-2.7417417417417416,-22.115596320851708
-2.735735735735736,-27.867540175191465
-2.72972972972973,-23.939595748308808
-2.7237237237237237,-22.50960384675123
-2.7177177177177176,-14.787423649215041
-2.7117117117117115,-18.222156323669157
-2.705705705705706,-28.623248442475713
-2.6996996996997,-18.05601331589157
-2.6936936936936937,-21.470814365307774
-2.6876876876876876,-22.79956576837799
-2.6816816816816815,-16.226708829631434
-2.6756756756756754,-14.000807571813372
-2.66966966966967,-14.370698602743488
-2.6636636636636637,-23.095058632147218
-2.6576576576576576,-20.317481216782056
-2.6516516516516515,-16.988125705886745
-2.6456456456456454,-13.640314656662184
-2.6396396396396398,-20.7880815149649
-2.6336336336336337,-19.195246546721254
-2.6276276276276276,-23.673937875399496
-2.6216216216216215,-23.99917617214757
-2.6156156156156154,-13.831961390659982
-2.6096096096096097,-10.990403915279721
-2.6036036036036037,-18.00923302625867
